hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,63,2017,August,35,31,0,3,3,0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,195.33,0,2,Check-Out,09-03-2017
City Hotel,0,63,2017,August,35,31,0,3,3,0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,195.33,0,2,Check-Out,09-03-2017
City Hotel,0,186,2017,August,35,31,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,126,0,2,Check-Out,09-03-2017
City Hotel,0,286,2017,August,35,30,0,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,112.05,0,3,Check-Out,09-03-2017
City Hotel,0,72,2017,August,35,31,0,3,2,0,0,BB,POL,Direct,Direct,0,0,0,D,D,0,No Deposit,14,NULL,0,Transient,134.82,0,1,Check-Out,09-03-2017
City Hotel,0,63,2017,August,35,31,0,3,3,0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,195.33,0,2,Check-Out,09-03-2017
City Hotel,0,63,2017,August,35,31,0,3,3,0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,195.33,0,2,Check-Out,09-03-2017
City Hotel,0,63,2017,August,35,31,0,3,3,0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,195.33,0,2,Check-Out,09-03-2017
City Hotel,0,111,2017,August,35,29,1,5,1,0,0,BB,JPN,Direct,Direct,0,0,0,D,D,1,No Deposit,14,NULL,0,Transient,135,0,2,Check-Out,09-04-2017
City Hotel,0,111,2017,August,35,29,1,5,2,0,0,BB,DEU,Direct,Direct,0,0,0,D,D,3,No Deposit,14,NULL,0,Transient,135,0,1,Check-Out,09-04-2017
City Hotel,0,47,2017,August,35,31,1,3,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,423,NULL,0,Transient,91.02,0,0,Check-Out,09-04-2017
City Hotel,0,135,2017,August,35,30,1,4,2,0,0,BB,USA,Direct,Direct,0,0,0,D,D,0,No Deposit,14,NULL,0,Transient,143.1,0,1,Check-Out,09-04-2017
City Hotel,0,63,2017,August,35,31,1,3,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,133.5,0,1,Check-Out,09-04-2017
City Hotel,0,195,2017,August,35,29,1,5,2,0,0,BB,JPN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,117,0,1,Check-Out,09-04-2017
City Hotel,0,100,2017,August,35,31,1,3,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,16,NULL,0,Transient,95.85,0,0,Check-Out,09-04-2017
City Hotel,0,198,2017,August,35,29,1,5,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient,119.17,0,2,Check-Out,09-04-2017
City Hotel,0,212,2017,August,35,28,2,5,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,NULL,0,Transient,92.17,0,1,Check-Out,09-04-2017
City Hotel,0,212,2017,August,35,28,2,5,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,NULL,0,Transient,92.17,0,2,Check-Out,09-04-2017
City Hotel,0,54,2017,August,35,27,3,5,1,0,0,BB,JPN,Direct,Direct,0,0,0,G,G,0,No Deposit,14,NULL,0,Transient,266.75,0,1,Check-Out,09-04-2017
City Hotel,0,210,2017,August,35,28,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,85.59,0,1,Check-Out,09-04-2017
City Hotel,0,212,2017,August,35,28,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,85.59,0,0,Check-Out,09-04-2017
